list,seg1 (context),seg2,seg3,seg4,seg5,seg6,seg7,seg8 (question),spa_sniy,que_ykuna
1,p_1a_seg1,p_1a_seg2,p_1a_seg3,p_1a_seg4,p_1a_seg5,p_1a_seg6,p_1a_seg7,p_1a_seg8,1,0
2,p_1b_seg1,p_1b_seg2,p_1b_seg3,p_1b_seg4,p_1b_seg5,p_1b_seg6,p_1b_seg7,p_1b_seg8,0,1
2,p_2a_seg1,p_2a_seg2,p_2a_seg3,p_2a_seg4,p_2a_seg5,p_2a_seg6,p_2a_seg7,p_2a_seg8,1,0
1,p_2b_seg1,p_2b_seg2,p_2b_seg3,p_2b_seg4,p_2b_seg5,p_2b_seg6,p_2b_seg7,p_2b_seg8,0,1
1,p_3a_seg1,p_3a_seg2,p_3a_seg3,p_3a_seg4,p_3a_seg5,p_3a_seg6,p_3a_seg7,p_3a_seg8,1,0
2,p_3b_seg1,p_3b_seg2,p_3b_seg3,p_3b_seg4,p_3b_seg5,p_3b_seg6,p_3b_seg7,p_3b_seg8,0,1
2,p_4a_seg1,p_4a_seg2,p_4a_seg3,p_4a_seg4,p_4a_seg5,p_4a_seg6,p_4a_seg7,p_4a_seg8,1,0
1,p_4b_seg1,p_4b_seg2,p_4b_seg3,p_4b_seg4,p_4b_seg5,p_4b_seg6,p_4b_seg7,p_4b_seg8,0,1
1,p_5a_seg1,p_5a_seg2,p_5a_seg3,p_5a_seg4,p_5a_seg5,p_5a_seg6,p_5a_seg7,p_5a_seg8,1,0
2,p_5b_seg1,p_5b_seg2,p_5b_seg3,p_5b_seg4,p_5b_seg5,p_5b_seg6,p_5b_seg7,p_5b_seg8,0,1
2,p_6a_seg1,p_6a_seg2,p_6a_seg3,p_6a_seg4,p_6a_seg5,p_6a_seg6,p_6a_seg7,p_6a_seg8,1,0
1,p_6b_seg1,p_6b_seg2,p_6b_seg3,p_6b_seg4,p_6b_seg5,p_6b_seg6,p_6b_seg7,p_6b_seg8,0,1
1,p_7a_seg1,p_7a_seg2,p_7a_seg3,p_7a_seg4,p_7a_seg5,p_7a_seg6,p_7a_seg7,p_7a_seg8,1,0
2,p_7b_seg1,p_7b_seg2,p_7b_seg3,p_7b_seg4,p_7b_seg5,p_7b_seg6,p_7b_seg7,p_7b_seg8,0,1
2,p_8a_seg1,p_8a_seg2,p_8a_seg3,p_8a_seg4,p_8a_seg5,p_8a_seg6,p_8a_seg7,p_8a_seg8,1,0
1,p_8b_seg1,p_8b_seg2,p_8b_seg3,p_8b_seg4,p_8b_seg5,p_8b_seg6,p_8b_seg7,p_8b_seg8,0,1
1,p_9a_seg1,p_9a_seg2,p_9a_seg3,p_9a_seg4,p_9a_seg5,p_9a_seg6,p_9a_seg7,p_9a_seg8,1,0
2,p_9b_seg1,p_9b_seg2,p_9b_seg3,p_9b_seg4,p_9b_seg5,p_9b_seg6,p_9b_seg7,p_9b_seg8,0,1
2,p_10a_seg1,p_10a_seg2,p_10a_seg3,p_10a_seg4,p_10a_seg5,p_10a_seg6,p_10a_seg7,p_10a_seg8,1,0
1,p_10b_seg1,p_10b_seg2,p_10b_seg3,p_10b_seg4,p_10b_seg5,p_10b_seg6,p_10b_seg7,p_10b_seg8,0,1
1,p_11a_seg1,p_11a_seg2,p_11a_seg3,p_11a_seg4,p_11a_seg5,p_11a_seg6,p_11a_seg7,p_11a_seg8,1,0
2,p_11b_seg1,p_11b_seg2,p_11b_seg3,p_11b_seg4,p_11b_seg5,p_11b_seg6,p_11b_seg7,p_11b_seg8,0,1
2,p_12a_seg1,p_12a_seg2,p_12a_seg3,p_12a_seg4,p_12a_seg5,p_12a_seg6,p_12a_seg7,p_12a_seg8,1,0
1,p_12b_seg1,p_12b_seg2,p_12b_seg3,p_12b_seg4,p_12b_seg5,p_12b_seg6,p_12b_seg7,p_12b_seg8,0,1
1,p_13a_seg1,p_13a_seg2,p_13a_seg3,p_13a_seg4,p_13a_seg5,p_13a_seg6,p_13a_seg7,p_13a_seg8,1,0
2,p_13b_seg1,p_13b_seg2,p_13b_seg3,p_13b_seg4,p_13b_seg5,p_13b_seg6,p_13b_seg7,p_13b_seg8,0,1
2,p_14a_seg1,p_14a_seg2,p_14a_seg3,p_14a_seg4,p_14a_seg5,p_14a_seg6,p_14a_seg7,p_14a_seg8,1,0
1,p_14b_seg1,p_14b_seg2,p_14b_seg3,p_14b_seg4,p_14b_seg5,p_14b_seg6,p_14b_seg7,p_14b_seg8,0,1
1,p_15a_seg1,p_15a_seg2,p_15a_seg3,p_15a_seg4,p_15a_seg5,p_15a_seg6,p_15a_seg7,p_15a_seg8,1,0
2,p_15b_seg1,p_15b_seg2,p_15b_seg3,p_15b_seg4,p_15b_seg5,p_15b_seg6,p_15b_seg7,p_15b_seg8,0,1
2,p_16a_seg1,p_16a_seg2,p_16a_seg3,p_16a_seg4,p_16a_seg5,p_16a_seg6,p_16a_seg7,p_16a_seg8,1,0
1,p_16b_seg1,p_16b_seg2,p_16b_seg3,p_16b_seg4,p_16b_seg5,p_16b_seg6,p_16b_seg7,p_16b_seg8,0,1
1,p_17a_seg1,p_17a_seg2,p_17a_seg3,p_17a_seg4,p_17a_seg5,p_17a_seg6,p_17a_seg7,p_17a_seg8,1,0
2,p_17b_seg1,p_17b_seg2,p_17b_seg3,p_17b_seg4,p_17b_seg5,p_17b_seg6,p_17b_seg7,p_17b_seg8,0,1
2,p_18a_seg1,p_18a_seg2,p_18a_seg3,p_18a_seg4,p_18a_seg5,p_18a_seg6,p_18a_seg7,p_18a_seg8,1,0
1,p_18b_seg1,p_18b_seg2,p_18b_seg3,p_18b_seg4,p_18b_seg5,p_18b_seg6,p_18b_seg7,p_18b_seg8,0,1
1,p_19a_seg1,p_19a_seg2,p_19a_seg3,p_19a_seg4,p_19a_seg5,p_19a_seg6,p_19a_seg7,p_19a_seg8,1,0
2,p_19b_seg1,p_19b_seg2,p_19b_seg3,p_19b_seg4,p_19b_seg5,p_19b_seg6,p_19b_seg7,p_19b_seg8,0,1
2,p_20a_seg1,p_20a_seg2,p_20a_seg3,p_20a_seg4,p_20a_seg5,p_20a_seg6,p_20a_seg7,p_20a_seg8,1,0
1,p_20b_seg1,p_20b_seg2,p_20b_seg3,p_20b_seg4,p_20b_seg5,p_20b_seg6,p_20b_seg7,p_20b_seg8,0,1
1,p_21a_seg1,p_21a_seg2,p_21a_seg3,p_21a_seg4,p_21a_seg5,p_21a_seg6,p_21a_seg7,p_21a_seg8,1,0
2,p_21b_seg1,p_21b_seg2,p_21b_seg3,p_21b_seg4,p_21b_seg5,p_21b_seg6,p_21b_seg7,p_21b_seg8,0,1
2,p_22a_seg1,p_22a_seg2,p_22a_seg3,p_22a_seg4,p_22a_seg5,p_22a_seg6,p_22a_seg7,p_22a_seg8,1,0
1,p_22b_seg1,p_22b_seg2,p_22b_seg3,p_22b_seg4,p_22b_seg5,p_22b_seg6,p_22b_seg7,p_22b_seg8,0,1
1,p_23a_seg1,p_23a_seg2,p_23a_seg3,p_23a_seg4,p_23a_seg5,p_23a_seg6,p_23a_seg7,p_23a_seg8,1,0
2,p_23b_seg1,p_23b_seg2,p_23b_seg3,p_23b_seg4,p_23b_seg5,p_23b_seg6,p_23b_seg7,p_23b_seg8,0,1
2,p_24a_seg1,p_24a_seg2,p_24a_seg3,p_24a_seg4,p_24a_seg5,p_24a_seg6,p_24a_seg7,p_24a_seg8,1,0
1,p_24b_seg1,p_24b_seg2,p_24b_seg3,p_24b_seg4,p_24b_seg5,p_24b_seg6,p_24b_seg7,p_24b_seg8,0,1
